movieId,title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy
3,Grumpier Old Men (1995),Comedy|Romance
4,Waiting to Exhale (1995),Comedy|Drama|Romance
5,Father of the Bride Part II (1995),Comedy
6,Heat (1995),Action|Crime|Thriller
7,Sabrina (1995),Comedy|Romance
8,Tom and Huck (1995),Adventure|Children
9,Sudden Death (1995),Action
10,GoldenEye (1995),Action|Adventure|Thriller
11,"American President, The (1995)",Comedy|Drama|Romance
12,Dracula: Dead and Loving It (1995),Comedy|Horror
13,Balto (1995),Adventure|Animation|Children
14,Nixon (1995),Drama
15,Cutthroat Island (1995),Action|Adventure|Romance
16,Casino (1995),Crime|Drama
17,Sense and Sensibility (1995),Drama|Romance
18,Four Rooms (1995),Comedy
19,Ace Ventura: When Nature Calls (1995),Comedy
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
21,Get Shorty (1995),Comedy|Crime|Thriller
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
23,Assassins (1995),Action|Crime|Thriller
24,Powder (1995),Drama|Sci-Fi
25,Leaving Las Vegas (1995),Drama|Romance
26,Othello (1995),Drama
27,Now and Then (1995),Children|Drama
28,Persuasion (1995),Drama|Romance
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
31,Dangerous Minds (1995),Drama
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
33,Babe (1995),Children|Drama
34,Dead Man Walking (1995),Crime|Drama
35,It Takes Two (1995),Children|Comedy
36,Clueless (1995),Comedy|Romance
37,"Cry, the Beloved Country (1995)",Drama
38,Richard III (1995),Drama|War
39,Dead Presidents (1995),Action|Crime|Drama
40,Restoration (1995),Drama
41,Mortal Kombat (1995),Action|Adventure|Fantasy
42,To Die For (1995),Comedy|Drama|Thriller
43,How to Make an American Quilt (1995),Drama|Romance
44,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
45,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
46,When Night Is Falling (1995),Drama|Romance
47,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
48,Mighty Aphrodite (1995),Comedy|Drama|Romance
49,Lamerica (1994),Adventure|Drama
50,"Big Green, The (1995)",Children|Comedy
51,Georgia (1995),Drama
52,Home for the Holidays (1995),Drama
53,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
54,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
55,Eye for an Eye (1996),Drama|Thriller
56,Mr. Holland's Opus (1995),Drama
57,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
58,Two if by Sea (1996),Comedy|Romance
59,Bio-Dome (1996),Comedy
60,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
61,French Twist (Gazon maudit) (1995),Comedy|Romance
62,Friday (1995),Comedy
63,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
64,Fair Game (1995),Action
65,Kicking and Screaming (1995),Comedy|Drama
66,"Misérables, Les (1995)",Drama|War
67,Bed of Roses (1996),Drama|Romance
68,Big Bully (1996),Comedy|Drama
69,Screamers (1995),Action|Sci-Fi|Thriller
70,Nico Icon (1995),Documentary
71,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
72,"Juror, The (1996)",Drama|Thriller
73,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
74,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
75,Antonia's Line (Antonia) (1995),Comedy|Drama
76,Once Upon a Time... When We Were Colored (1995),Drama|Romance
77,Angels and Insects (1995),Drama|Romance
78,White Squall (1996),Action|Adventure|Drama
79,Dunston Checks In (1996),Children|Comedy
80,Black Sheep (1996),Comedy
81,Nick of Time (1995),Action|Thriller
82,Mary Reilly (1996),Drama|Horror|Thriller
83,Vampire in Brooklyn (1995),Comedy|Horror|Romance
84,Beautiful Girls (1996),Comedy|Drama|Romance
85,Broken Arrow (1996),Action|Adventure|Thriller
86,In the Bleak Midwinter (1995),Comedy|Drama
87,"Hate (Haine, La) (1995)",Crime|Drama
88,Heidi Fleiss: Hollywood Madam (1995),Documentary
89,City Hall (1996),Drama|Thriller
90,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
91,Mr. Wrong (1996),Comedy
92,Unforgettable (1996),Mystery|Sci-Fi|Thriller
93,Happy Gilmore (1996),Comedy
94,"Bridges of Madison County, The (1995)",Drama|Romance
95,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
96,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
97,Catwalk (1996),Documentary
98,Braveheart (1995),Action|Drama|War
99,Taxi Driver (1976),Crime|Drama|Thriller
100,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
101,Before and After (1996),Drama|Mystery
102,Anne Frank Remembered (1995),Documentary
103,"Young Poisoner's Handbook, The (1995)",Crime|Drama
104,If Lucy Fell (1996),Comedy|Romance
105,"Steal Big, Steal Little (1995)",Comedy
106,"Boys of St. Vincent, The (1992)",Drama
107,Boomerang (1992),Comedy|Romance
108,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
109,Flirting With Disaster (1996),Comedy
110,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
111,Jupiter's Wife (1994),Documentary
112,Pie in the Sky (1996),Comedy|Romance
113,Jade (1995),Thriller
114,Down Periscope (1996),Comedy
115,Man of the Year (1995),Documentary
116,Up Close and Personal (1996),Drama|Romance
117,"Birdcage, The (1996)",Comedy
118,"Brothers McMullen, The (1995)",Comedy
119,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
120,"Amazing Panda Adventure, The (1995)",Adventure|Children
121,"Basketball Diaries, The (1995)",Drama
122,"Awfully Big Adventure, An (1995)",Drama
123,Amateur (1994),Crime|Drama|Thriller
124,Apollo 13 (1995),Adventure|Drama|IMAX
125,Rob Roy (1995),Action|Drama|Romance|War
126,"Addiction, The (1995)",Drama|Horror
127,Batman Forever (1995),Action|Adventure|Comedy|Crime
128,Beauty of the Day (Belle de jour) (1967),Drama
129,Beyond Rangoon (1995),Adventure|Drama|War
130,Blue in the Face (1995),Comedy|Drama
131,Canadian Bacon (1995),Comedy|War
132,Casper (1995),Adventure|Children
133,Clockers (1995),Crime|Drama|Mystery
134,Congo (1995),Action|Adventure|Mystery|Sci-Fi
135,Crimson Tide (1995),Drama|Thriller|War
136,Crumb (1994),Documentary
137,Desperado (1995),Action|Romance|Western
138,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
139,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
140,"Doom Generation, The (1995)",Comedy|Crime|Drama
141,First Knight (1995),Action|Drama|Romance
142,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
143,Hackers (1995),Action|Adventure|Crime|Thriller
144,Jeffrey (1995),Comedy|Drama
145,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
146,Judge Dredd (1995),Action|Crime|Sci-Fi
147,Jury Duty (1995),Comedy
148,Kids (1995),Drama
149,Living in Oblivion (1995),Comedy
150,Lord of Illusions (1995),Horror
151,Love & Human Remains (1993),Comedy|Drama
152,Mad Love (1995),Drama|Romance
153,Mallrats (1995),Comedy|Romance
154,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
155,Mute Witness (1994),Comedy|Horror|Thriller
156,Nadja (1994),Drama
157,"Net, The (1995)",Action|Crime|Thriller
158,Nine Months (1995),Comedy|Romance
159,Party Girl (1995),Comedy
160,"Prophecy, The (1995)",Fantasy|Horror|Mystery
161,Reckless (1995),Comedy|Fantasy
162,Safe (1995),Thriller
163,"Scarlet Letter, The (1995)",Drama|Romance
164,Showgirls (1995),Drama
165,Smoke (1995),Comedy|Drama
166,Something to Talk About (1995),Comedy|Drama|Romance
167,Species (1995),Horror|Sci-Fi
168,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
169,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
170,Three Wishes (1995),Drama|Fantasy
171,Total Eclipse (1995),Drama|Romance
172,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
173,Under Siege 2: Dark Territory (1995),Action
174,Unstrung Heroes (1995),Comedy|Drama
175,Unzipped (1995),Documentary
176,"Walk in the Clouds, A (1995)",Drama|Romance
177,Waterworld (1995),Action|Adventure|Sci-Fi
178,White Man's Burden (1995),Drama
179,Wild Bill (1995),Western
180,"Browning Version, The (1994)",Drama
181,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
182,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
183,Before the Rain (Pred dozhdot) (1994),Drama|War
184,Before Sunrise (1995),Drama|Romance
185,Billy Madison (1995),Comedy
186,"Babysitter, The (1995)",Drama|Thriller
187,Boys on the Side (1995),Comedy|Drama
188,"Cure, The (1995)",Drama
189,Castle Freak (1995),Horror
190,Circle of Friends (1995),Drama|Romance
191,Clerks (1994),Comedy
192,Don Juan DeMarco (1995),Comedy|Drama|Romance
193,Disclosure (1994),Drama|Thriller
194,Drop Zone (1994),Action|Thriller
195,Destiny Turns on the Radio (1995),Comedy
196,Death and the Maiden (1994),Drama|Thriller
197,Dolores Claiborne (1995),Drama|Thriller
198,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
199,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
200,Exotica (1994),Drama
201,Exit to Eden (1994),Comedy
202,Ed Wood (1994),Comedy|Drama
203,French Kiss (1995),Action|Comedy|Romance
204,Forget Paris (1995),Comedy|Romance
205,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children
206,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
207,Hideaway (1995),Thriller
208,Fluke (1995),Children|Drama
209,Farinelli: il castrato (1994),Drama|Musical
210,Gordy (1995),Children|Comedy|Fantasy
211,Hoop Dreams (1994),Documentary
212,Heavenly Creatures (1994),Crime|Drama
213,Houseguest (1994),Comedy
214,Immortal Beloved (1994),Drama|Romance
215,Heavyweights (Heavy Weights) (1995),Children|Comedy
216,"Hunted, The (1995)",Action
217,I.Q. (1994),Comedy|Romance
218,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
219,Jefferson in Paris (1995),Drama
220,"Jerky Boys, The (1995)",Comedy
221,Junior (1994),Comedy|Sci-Fi
222,Just Cause (1995),Mystery|Thriller
223,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
224,Kiss of Death (1995),Crime|Drama|Thriller
225,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
226,Little Women (1994),Drama
227,"Little Princess, A (1995)",Children|Drama
228,Ladybird Ladybird (1994),Drama
229,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
230,Legends of the Fall (1994),Drama|Romance|War|Western
231,Major Payne (1995),Comedy
232,My Crazy Life (Mi vida loca) (1993),Drama
233,Love Affair (1994),Drama|Romance
234,Losing Isaiah (1995),Drama
235,"Madness of King George, The (1994)",Comedy|Drama
236,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
237,Man of the House (1995),Comedy
238,Mixed Nuts (1994),Comedy
239,Milk Money (1994),Comedy|Romance
240,Miracle on 34th Street (1994),Drama
241,Miami Rhapsody (1995),Comedy
242,My Family (1995),Drama
243,Murder in the First (1995),Drama|Thriller
244,Nobody's Fool (1994),Comedy|Drama|Romance
245,Nell (1994),Drama
246,New Jersey Drive (1995),Crime|Drama
247,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime
248,Beyond Bedlam (1993),Drama|Horror
249,Nina Takes a Lover (1994),Comedy|Romance
250,Natural Born Killers (1994),Action|Crime|Thriller
251,Only You (1994),Comedy|Romance
252,Once Were Warriors (1994),Crime|Drama
253,Poison Ivy II (1996),Drama|Thriller
254,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
255,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
256,"Perez Family, The (1995)",Comedy|Romance
257,"Pyromaniac's Love Story, A (1995)",Comedy|Romance
258,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
259,Pushing Hands (Tui shou) (1992),Drama
260,Priest (1994),Drama
261,Quiz Show (1994),Drama
262,Picture Bride (Bijo photo) (1994),Drama|Romance
263,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance
264,"Quick and the Dead, The (1995)",Action|Thriller|Western
265,Roommates (1995),Comedy|Drama
266,Ready to Wear (Pret-A-Porter) (1994),Comedy
267,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
268,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
269,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
270,Rent-a-Kid (1995),Comedy
271,Relative Fear (1994),Horror|Thriller
272,Stuart Saves His Family (1995),Comedy
273,"Swan Princess, The (1994)",Animation|Children
274,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
275,"Specialist, The (1994)",Action|Drama|Thriller
276,Stargate (1994),Action|Adventure|Sci-Fi
277,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
278,"Shawshank Redemption, The (1994)",Crime|Drama
279,Shallow Grave (1994),Comedy|Drama|Thriller
280,Suture (1993),Film-Noir|Thriller
281,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
282,Swimming with Sharks (1995),Comedy|Drama
283,"Sum of Us, The (1994)",Comedy|Drama
